task,selected_model,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,energy_target_mode,weight_scheme
HOMO,KernelRidge,0.12087000817819395,0.19554248784108422,0.7213857139859866,0.07729988944689771,0.25014618211395445,0.3464488776848105,,
LUMO,RandomForest,0.1396349753437364,0.2711652685833779,0.8285503267379135,0.07241058044055257,0.2872824119987008,0.37268301272723986,,
Final Energy,RandomForest,1002.6034546893065,1732.504588272956,0.8420897795548116,474.144212423687,2530.9030943245557,4008.8356068187013,delta_energy,none
