Folder;File;Program Version;SMILES;Atoms_1;Atoms_2;Atoms_3;Atoms_4;dihedral_1_orca;dihedral_2_orca;dihedral_3_orca;dihedral_4_orca;dihedral_1_xtb;dihedral_2_xtb;dihedral_3_xtb;dihedral_4_xtb;Number of Atoms;Magnitude (Debye);Dipole_xtb (Debye);Final Energy (Eh);Total energy xtb (Eh);HOMO_orca (eV);LUMO_orca (eV);HOMO-LUMO Gap (eV);HOMO_xtb (eV);LUMO_xtb (eV);HOMO-LUMO xtb (eV)
Group 4;47.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCC#C)C=C5C(C)(C)C;25-24-22-21;15-14-12-32;38-9-7-39;45-5-3-51;21,126;-20,895;46,537;-48,591;23,632;-22,815;50,899;-51,841;112;6.932290657;8,043;-3751.376221835054;-160,5268195;-5,718718;-1,355897;4.3628853962;-9,3855;-7,2814;2,104106
Group 4;48.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCC#C)C=C5C(C)(C)C;15-14-12-33;39-9-7-40;46-5-3-53;25-24-22-21;-47,639;21,488;-20,43;45,855;-52,206;22,436;-23,63;49,804;118;6.921954243;7,745;-3829.888257031488;-166,8585989;-5,701494;-1,316958;4.3846000934000005;-9,3428;-7,228;2,114834
Group 4;49.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCC#C)C=C5C(C)(C)C;15-14-12-34;40-9-7-41;47-5-3-55;25-24-22-21;-20,609;48,697;-46,243;20,187;-24,333;52,186;-49,553;21,446;124;6.735622285;7,892;-3908.312304588802;-173,1878593;-5,677657;-1,314291;4.3634296242;-9,3616;-7,2607;2,100924
Group 4;50.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;37-9-7-38;44-5-3-46;25-24-22-21;15-14-12-31;-46,665;8,837;-5,103;45,25;-54,981;20,196;-8,372;45,356;101;6.463060884;6,777;-3557.710022963717;-146,8228924;-5,633602;-1,297203;4.3364631268;-9,4082;-7,1307;2,277445
Group 4;51.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;15-14-12-32;38-9-7-39;45-5-3-47;25-24-22-21;-24,454;44,382;-44,757;23,063;-21,038;44,569;-46,991;22,034;104;7.078569387;8,481;-3596.958662858618;-149,9924564;-5,640731;-1,354019;4.286775110400001;-9,3688;-7,2603;2,108525
Group 4;52.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;40-7-9-39;33-12-14-15;21-22-24-25;48-3-5-46;-43,798;23,185;-24,295;43,474;-47,042;22,898;-21,666;44,613;107;7.326472754;8,747;-3636.200993008285;-153,1571109;-5,617412;-1,339081;4.2783939992;-9,347;-7,247;2,099999
Group 4;53.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;34-12-14-15;21-22-24-25;49-3-5-47;41-7-9-40;18,813;-20,296;42,513;-40,081;21,523;-20,448;47,663;-46,505;110;7.221385015;8,454;-3675.446363239938;-156,3212783;-5,701684;-1,329176;4.3725726546;-9,361;-7,2632;2,097714
Group 4;54.log;6.0.0;OC1=C(CC2=C(C(CC3=C(OCC#C)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;34-15-17-18;24-25-27-28;49-3-5-47;41-7-10-9;-23,134;21,61;-22,993;-21,667;-23,988;20,38;-24,758;-18,711;114;3.71580118;5,069;-2240.521867045771;-153,8839517;-5,889386;-0,519023;5.370441904;-9,5766;-6,1242;3,452489
Group 5;55.log;6.0.0;CC(C1=CC2=C(OCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC5=C4OCCC#CC(C(C=C6S5)=CC(S2)=C6OCCCCCCCCCCCC)(C)C)=C3OCCCCCCCCCCCC)=C1)(C)C;15-14-53-12;5-4-45-44;41-42-31-32;24-25-22-21;59,621;-61,575;59,741;-62,255;61,708;-65,86;60,28;-63,64;184;1.44272463;1,32;-4693.159433009583;-236,4716088;-5,847426;-0,768439;5.0790622328;-9,5779;-6,5961;2,981864
Group 5;56.log;6.0.0;CC(C1=CC2=C(OCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCCCCCCC)=C4OCCCC#C)=C3OCCCCCCCCCCCC)=C1)(C)C;16-15-80-13;5-4-43-42;36-35-32-33;25-26-23-22;61,574;-61,176;61,239;-61,666;6,834;-6,571;7,285;-6,92;190;1.258403434;1,328;-4771.601678176579;-242,7788566;-5,786256;-0,714534;5.071796789;-9,5346;-6,6721;2,862481
Group 5;57.log;6.0.0;CC(C1=CC2=C(OCCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCCCCCCC)=C4OCCCCC#C)=C3OCCCCCCCCCCCC)=C1)(C)C;23-24-27-26;34-33-36-37;43-44-4-5;14-82-16-17;63,664;-65,782;65,183;-64,171;64,95;-62,847;64,949;-62,832;196;1.925755082;1,619;-4850.118753567693;-249,128701;-5,814066;-0,751187;5.062953084;-9,5574;-6,5658;2,99161
Group 6;58.log;5.0.4;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCBr)C=C5C(C)(C)C;37-9-7-38;44-5-3-49;25-24-22-21;15-14-12-31;21,037;-19,862;19,258;-20,138;9,726;-10,5;9,859;-10,806;116;0.47600;3,657;-7309.67193129;-158,9568619;-5,627752;-0,409689;5.218139698200001;-9,6759;-6,0906;3,585294
Group 6;59.log;6.0.0;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCBr)C=C5C(C)(C)C;45-5-3-51;25-24-22-21;15-14-12-32;38-9-7-39;-25,322;25,518;-25,014;25,499;-28,412;27,814;-28,624;27,959;122;3.334022829;9,297;-7389.027072310322;-165,2832865;-5,727671;-0,420219;5.3075291472;-9,7845;-6,1657;3,618864
Group 6;60.log;6.0.0;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCBr)C=C5C(C)(C)C;15-14-12-33;39-9-7-40;46-5-3-53;25-24-22-21;-11,091;11,335;-9,829;10,312;-6,831;6,673;-5,81;7,302;128;3.764952974;8,074;-7467.497663411248;-171,6131371;-5,855535;-0,580574;5.2750387356;-9,8389;-6,1842;3,654747
Group 6;61.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4OCCCBr)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)OCCCBr)C=C5[N+]([O-])=O;47-32-34-35;40-41-43-44;60-23-25-58;53-27-29-52;31,42;-30,677;63,786;-62,942;34,207;-33,838;67,177;-66,817;74;7.990150315;7,785;-9012.332756363785;-156,7442931;-6,948193;-2,919577;4.0286749814;-11,0806;-9,6122;1,468354
Group 6;62.log;6.0.0;CC(C1=CC2=C(OCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCBr)=C4OCCCBr)=C3OCCCBr)=C1)(C)C;25-24-21-22;14-15-12-62;4-5-41-42;34-35-32-21;58,794;-55,148;62,288;102,939;58,398;-58,114;62,384;105,066;132;0.31079861;0,548;-14205.094965321046;-191,7149819;-5,97608;-0,897201;5.0789533872;-9,9601;-6,9558;3,004279
Group 6;63.log;6.0.0;CC(C1=CC2=C(OCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCBr)=C4OCCCCBr)=C3OCCCCBr)=C1)(C)C;16-15-66-13;5-4-43-42;36-35-32-33;25-26-23-22;67,126;-67,136;63,403;-60,528;64,872;-59,86;59,003;-56,512;144;0.318671684;0,652;-14362.095233496972;-204,3706426;-6,065386;-0,998399;5.0670620053999995;-10,0691;-7,0931;2,97606
Group 6;64.log;6.0.0;CC(C1=CC2=C(OCCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCBr)=C4OCCCCCBr)=C3OCCCCCBr)=C1)(C)C;23-24-27-26;34-33-36-37;43-44-4-5;14-70-16-17;67,946;-66,166;58,167;-62,75;62,546;-74,441;64,168;-63,957;156;0.819525212;1,502;-14519.041680875598;-217,032211;-5,933059;-0,863541;5.069592665600001;-9,8265;-6,8453;2,981149
Group 6;65.log;6.0.0;CC(C1=CC2=C(OCCCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCBr)=C4OCCCCCCBr)=C3OCCCCCCBr)=C1)(C)C;28-27-24-25;17-18-15-74;4-5-44-45;37-38-35-34;71,408;-58,183;59,44;-68,95;66,015;-55,717;58,855;-63,99;168;0.383860837;0,693;-14676.01611562081;-229,6894996;-5,993277;-0,92716;5.0661912406;-9,9031;-6,9234;2,979655
Group 6;66.log;6.0.0;CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCBr)=C4OCCCCCCCCCCCC)=C3OCCCBr)=C1)(C)C;78-20-23-22;30-29-32-33;39-40-43-42;50-49-5-4;66,433;-57,202;57,342;-66,874;53,914;-45,505;49,808;-59,568;186;3.413957262;7,307;-9765.540778155275;-241,5201291;-5,8508;-0,778507;5.0723682284;-9,7231;-6,7428;2,980224
Group 6;67.log;6.0.0;CC(C1=CC2=C(OCCCCCCOC3=C(SC4=CC(C(C)(C)C)=CC(S2)=C4OCCCCCCBr)C=C(C(C)(C)C)C=C3S5)C(SC6=CC(C(C)(C)C)=CC5=C6OCCCCCCBr)=C1)(C)C;66-46-49-48;56-55-44-43;37-16-19-18;26-25-5-4;68,663;-78,716;76,415;-65,003;65,547;-70,798;65,207;-69,731;148;4.168542963;7,554;-9293.46677747489;-202,5321946;-5,855889;-0,823024;5.0329389098;-9,716;-6,7608;2,955164
Group 7;68.log;5.0.4;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(CC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9;28-29-31-32;64-3-5-62;49-7-9-48;35-12-14-15;-0,404;1,235;-1,751;1,332;0,409;-0,175;0,078;0,631;112;17.08913;28,353;-3555.3258756;-213,0743115;-6,945172;-3,269728;3.6754982208000007;-10,191;-9,4642;0,72673
Group 7;69.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4O)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)O)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9;35-12-14-15;28-29-31-32;64-3-5-62;49-7-9-48;0,759;1,076;-1,073;-1,267;-3,657;3,486;-3,852;4,616;104;12.18603;18,46;-4990.1794666;-213,3451406;-7,22833;-3,431579;3.796806642;-10,4602;-9,7589;0,701294
Group 7;70.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4OCCCBr)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)OCCCBr)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9;52-9-7-53;66-5-3-72;32-31-29-28;15-14-12-39;31,275;-28,603;53,923;-55,236;32,369;-29,597;60,646;-61,589;122;9.429943416;10,293;-10372.108088521496;-239,4729117;-6,633089;-3,579852;3.0532823484000002;-10,3609;-10,0575;0,303395
Group 7;71.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCOC6=CC=C(/N=N/C7=CC=C([N+]([O-])=O)C=C7)C=C6)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCOC8=CC=C(/N=N/C9=CC=C([N+]([O-])=O)C=C9)C=C8)C=C5C(C)(C)C;62-5-3-85;25-24-22-21;15-14-12-49;55-9-7-56;-47,223;20,594;-20,588;45,775;-52,153;24,431;-22,357;47,866;164;20.034140862;28,566;-5377.402919085403;-258,6009775;-5,922801;-2,904366;3.0184789678;-9,6974;-8,9755;0,721895
Group 7;72.log;5.0.4;OC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2;None;None;None;None;None;None;None;None;None;None;None;None;27;7.20163;11,289;-850.78702574;-51,09607544;-6,698532;-2,911495;3.7870921722;-9,8632;-9,0211;0,842072
Group 7;73.log;5.0.4;OCCCOC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2;None;None;None;None;None;None;None;None;None;None;None;None;37;7.15829;11,346;-1043.49229412;-64,64223414;-6,632328;-2,888829;3.7435539322;-9,8054;-8,9571;0,848376
Group 7;74.log;5.0.4;CCCCCCCCOC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2;None;None;None;None;None;None;None;None;None;None;None;None;51;8.16636;12,713;-1164.4838102;-76,40982687;-6,579919;-2,857427;3.7225467314000005;-9,7315;-8,9131;0,8184
Group 7;75.log;5.0.4;OCCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2;None;None;None;None;None;None;None;None;None;None;None;None;41;9.15392;14,413;-1062.864677;-67,18620009;-5,984678;-2,711848;3.2728783464;-9,4801;-8,6633;0,816793
Group 8;76.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN)C=C5C(C)(C)C;31-12-14-15;21-22-24-25;49-3-5-44;38-7-9-37;21,986;-21,905;47,304;-45,631;24,093;-22,668;52,555;-50,87;112;7.564721241;8,294;-3711.86525431;-158,9424673;-5,723698;-1,36006;4.3637017382000005;-9,3349;-7,2458;2,089047
Group 8;77.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCN)C=C5C(C)(C)C;25-24-22-21;15-14-12-32;38-9-7-39;45-5-3-51;16,403;-18,761;51,794;-52,39;19,387;-22,496;50,768;-51,703;118;7.414188045;8,804;-3788.350747113222;-165,2730008;-5,651942;-1,394564;4.257441221200001;-9,4118;-7,3137;2,098105
Group 8;78.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;25-24-22-21;15-14-12-31;37-9-7-38;44-5-3-46;22,48;-21,431;38,652;-41,719;22,503;-25,389;47,673;-46,905;104;8.14025836;9,564;-3576.216397174976;-149,2007556;-5,688541;-1,324468;4.3641371206;-9,3679;-7,2709;2,096953
Group 8;79.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;39-7-9-38;32-12-14-15;21-22-24-25;47-3-5-45;-44,485;23,539;-22,769;42,56;-46,219;22,16;-24,85;47,615;107;7.475503025;8,846;-3615.453286558983;-152,3634939;-5,604704;-1,2864;4.318367545799999;-9,3203;-7,226;2,094298
Group 8;80.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN(CC)CC6=CC=CC=C6)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN(CC)CC7=CC=CC=C7)C=C5C(C)(C)C;21-22-24-25;67-3-5-53;47-7-9-46;40-12-14-15;-56,566;25,288;-25,77;54,645;-54,534;24,207;-26,203;53,877;150;6.098961163;7,258;-4406.594305387566;-207,720569;-5,506853;-1,281312;4.225603883200001;-9,1158;-7,1986;1,917152
Group 8;81.log;6.0.0;CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCN)=C4OCCCCCCCCCCCC)=C3OCCN)=C1)(C)C;33-32-29-30;22-23-20-76;4-5-49-50;42-43-40-39;61,411;-60,087;62,121;-60,302;59,134;-55,767;59,032;-56,536;184;0.252868363;0,431;-4651.609401803725;-234,8757275;-5,749467;-0,684193;5.0653476872;-9,4894;-6,5124;2,977006
Group 8;82.log;6.0.0;CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN)=C4OCCCCCCCCCCCC)=C3OCCCN)=C1)(C)C;78-20-23-22;30-29-32-33;39-40-43-42;50-49-5-4;63,812;-60,429;62,346;-62,49;64,782;-60,578;64,765;-60,852;190;2.355916163;2,6;-4730.143534444108;-241,2153331;-5,821685;-0,754752;5.0670075826;-9,5977;-6,6162;2,981497
Group 8;83.log;6.0.0;CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN=[N+]=[N-])=C4OCCCCCCCCCCCC)=C3OCCCN=[N+]=[N-])=C1)(C)C;33-32-29-30;22-23-20-82;4-5-49-50;42-43-40-39;66,096;-65,569;59,958;-62,451;64,941;-64,754;64,997;-64,837;190;4.099769391;5,623;-4945.956388207651;-250,7899386;-5,865249;-0,793337;5.0719872688;-9,6783;-6,7237;2,954554
Group 8;84.log;5.0.4;CC(C1=CC2=C(OCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCN=[N+]=[N-])=C4OCCN=[N+]=[N-])=C3OCCN=[N+]=[N-])=C1)(C)C;16-15-66-13;5-4-43-42;36-35-32-33;25-26-23-22;0,383;2,268;-14,121;7,406;55,078;-38,303;39,363;-59,177;128;3.47631;7,694;-4408.57032558;-197,5748795;-6,148353;-0,962507;5.1859214006;-9,714;-7,0446;2,669448
Group 8;85.log;6.0.0;CC(C1=CC2=C(OCCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN=[N+]=[N-])=C4OCCCN=[N+]=[N-])=C3OCCCN=[N+]=[N-])=C1)(C)C;4-5-43-44;36-37-34-33;27-26-23-24;16-17-14-70;64,905;-58,5;62,769;-69,428;62,47;-63,832;63,276;-63,765;140;0.24021696;0,071;-4565.985100632026;-210,2353595;-5,997849;-0,916358;5.081565681600001;-9,8653;-6,866;2,99937
Group 8;86.log;6.0.0;CC(C1=CC2=C(OCCCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCN=[N+]=[N-])=C4OCCCCN=[N+]=[N-])=C3OCCCCN=[N+]=[N-])=C1)(C)C;4-5-44-45;37-38-35-34;28-27-24-25;17-18-15-74;64,811;-64,269;65,708;-66,454;63,617;-64,089;63,563;-63,708;152;0.243175141;0,13;-4723.416121918299;-222,8854577;-6,083536;-1,021909;5.0617013596;-9,922;-6,9364;2,985603
Group 8;87.log;6.0.0;CC(C1=CC2=C(OCCCCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCN=[N+]=[N-])=C4OCCCCCN=[N+]=[N-])=C3OCCCCCN=[N+]=[N-])=C1)(C)C;25-26-29-28;36-37-38-39;45-46-4-5;16-78-18-19;64,386;-138,324;66,116;-66,181;66,693;-140,285;66,562;-66,981;164;0.839416469;0,128;-4879.898725066756;-235,547018;-5,959508;-0,891269;5.068313729800001;-9,7877;-6,7891;2,998566
Group 8;88.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN=[N+]=[N-])=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN=[N+]=[N-])C=C5C(C)(C)C;15-14-12-33;39-9-7-40;46-5-3-53;25-24-22-21;-45,149;18,065;-19,805;46,885;-50,054;23,982;-23,096;50,35;112;9.568743576;12,559;-3928.22039528;-168,5147271;-5,92095;-1,514319;4.4066957502;-9,7204;-7,4892;2,231225
Group 8;89.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN=[N+]=[N-])=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;25-24-22-21;15-14-12-33;39-9-7-40;46-5-3-48;-45,443;17,196;-16,054;47,34;-45,275;16,173;-23,392;53,282;104;8.230081215;9,894;-3684.258913811858;-153,9873372;-5,841984;-1,292386;4.5496644457999995;-9,5491;-7,2608;2,288252
Group 8;90.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN=[N+]=[N-])=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;34-12-14-15;21-22-24-25;49-3-5-47;41-7-9-40;22,42;-23,987;44,645;-42,506;25,651;-22,915;46,49;-48,256;107;8.777138543;10,996;-3723.496750864932;-157,149997;-5,685113;-1,382346;4.3028298364;-9,4072;-7,3474;2,059791
Group 9;91.log;6.0.0;CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=CC=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=CC=C8)=NN7)=C(OCC9=CC(C%10=CC=CC=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)C;95-70-72-73;79-80-16-15;13-12-36-10;8-42-6-5;-12,088;10,205;68,556;-64,734;-13,47;11,346;73,224;-70,209;184;5.831652661;5,672;-3985.551022286494;-264,5005418;-6,043209;-0,749119;5.2941683498000005;-9,9247;-6,4923;3,432442
Group 9;92.log;6.0.0;CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=C(C)C=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=C(C)C=C8)=NN7)=C(OCC9=CC(C%10=CC=C(C)C=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=C(C)C=C%13)=NN%12)=C1)C;43-8-6-5;99-73-75-76;82-83-15-16;12-13-10-37;1,837;13,359;55,182;-82,601;1,74;14,523;53,052;-83,183;196;5.254704065;6,664;-4142.486426073683;-277,180236;-5,815263;-0,664629;5.150709849;-9,5137;-6,4572;3,056489
Group 9;93.log;6.0.0;CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=C(Cl)C=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=C(Cl)C=C8)=NN7)=C(OCC9=CC(C%10=CC=C(Cl)C=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=C(Cl)C=C%13)=NN%12)=C1)C;82-83-16-15;13-12-10-37;43-8-5-6;73-99-75-76;1,881;13,51;55,79;-83,373;-9,514;11,374;69,185;-72,58;184;8.775491789;9,348;-5822.746284896217;-280,7186085;-6,090693;-0,969555;5.1212126914;-10,1752;-6,919;3,256225
Group 9;94.log;6.0.0;CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=C(OC)C=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=C(OC)C=C8)=NN7)=C(OCC9=CC(C%10=CC=C(OC)C=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=C(OC)C=C%13)=NN%12)=C1)C;95-70-72-73;79-80-16-15;13-12-36-10;8-42-6-5;-16,377;14,266;66,229;-62,605;-11,818;7,855;70,471;-63,007;188;5.82584662;4,259;-4285.883152389057;-280,8029561;-5,525384;-0,718969;4.806485639;-9,6262;-6,3708;3,255464
Group 9;95.log;6.0.0;CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=C(C)C=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=C(C)C=C9)=NN8)=C7OCC%10=CC(C%11=CC=C(C)C=C%11)=N[N]%10)=C6OCC%12=CC(C%13=CC=C(C)C=C%13)=NN%12)=C1;6-7-9-10;49-48-46-45;39-38-36-35;29-28-26-100;-23,088;25,766;-29,563;21,147;-24,551;23,52;-27,931;22,489;196;8.515448141;9,091;-4142.560506721044;-277,174854;-5,515942;-0,756629;4.7593827056;-9,4704;-6,3366;3,133858
