task,selected_model,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_medae_mean,cv_q90ae_mean,cv_q95ae_mean,energy_target_mode,weight_scheme
HOMO,KernelRidge,0.12087000817819395,0.19554248784108422,0.7213857139859866,0.07729988944689771,0.25014618211395445,0.3464488776848105,,
LUMO,RandomForest,0.13963497534373637,0.27116526858337786,0.8285503267379136,0.0724105804405526,0.2872824119987009,0.37268301272723964,,
Final Energy,RandomForest,1002.6034546893065,1732.504588272956,0.8420897795548115,474.1442124236873,2530.9030943245566,4008.8356068187027,delta_energy,none
