outer_fold,repeat_id,split_id,model,target,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples,best_params_json,best_inner_score,energy_target_mode,weight_scheme
1,1,1,XGBoost,HOMO,0.1560748076157682,0.26772331950730427,0.3599117393893809,0.09582025714111353,0.27648555910339406,0.3294889077987675,1.2374520789489747,43,"{""n_estimators"": 1313, ""max_depth"": 8, ""learning_rate"": 0.006390307889566355, ""subsample"": 0.9292814405215261, ""colsample_bytree"": 0.8505854296792751, ""min_child_weight"": 1, ""reg_alpha"": 0.005436846478328369, ""reg_lambda"": 2.191886988345524, ""gamma"": 1.1246922049914234e-06}",0.11770692793469736,,
1,1,1,XGBoost,delta_homo,0.1560748076157682,0.26772331950730427,-0.543500220152801,0.09582025714111353,0.27648555910339406,0.3294889077987675,1.2374520789489747,43,"{""n_estimators"": 1313, ""max_depth"": 8, ""learning_rate"": 0.006390307889566355, ""subsample"": 0.9292814405215261, ""colsample_bytree"": 0.8505854296792751, ""min_child_weight"": 1, ""reg_alpha"": 0.005436846478328369, ""reg_lambda"": 2.191886988345524, ""gamma"": 1.1246922049914234e-06}",0.11770692793469736,,
1,1,1,LinearRegression,LUMO,0.18273761991108273,0.30449272501660485,0.8320129413505779,0.11216358321698827,0.3114694278803135,0.4879371345015595,1.4825805806355032,43,{},0.18160877362970332,,
1,1,1,LinearRegression,delta_lumo,0.1827376199110828,0.30449272501660485,0.18515396661896755,0.11216358321698827,0.3114694278803139,0.48793713450155946,1.4825805806355032,43,{},0.18160877362970332,,
1,1,1,Ridge,LUMO,0.1645335119127262,0.31075652915025337,0.8250304364501546,0.09174505579996772,0.29474191062994404,0.39036043353850086,1.707720575739995,43,"{""alpha"": 127.47900504376452}",0.15529987590544625,,
1,1,1,Ridge,delta_lumo,0.16453351191272622,0.31075652915025337,0.15128429554479572,0.09174505579996772,0.2947419106299443,0.39036043353850086,1.707720575739995,43,"{""alpha"": 127.47900504376452}",0.15529987590544625,,
1,1,1,ElasticNet,LUMO,0.16759882762130296,0.30929673632087384,0.8266704302616756,0.10739712185887496,0.30699824063731496,0.4026082731353025,1.6836520957088097,43,"{""alpha"": 0.34803453741151735, ""l1_ratio"": 0.05128220540086837}",0.15530823668703747,,
1,1,1,ElasticNet,delta_lumo,0.167598827621303,0.3092967363208739,0.1592393276932913,0.10739712185887473,0.30699824063731523,0.4026082731353025,1.6836520957088097,43,"{""alpha"": 0.34803453741151735, ""l1_ratio"": 0.05128220540086837}",0.15530823668703747,,
1,1,1,KernelRidge,LUMO,0.19393453403924887,0.36154375259967975,0.7631661870571488,0.08907109902719579,0.3906404530820531,0.6374174287928381,1.861916105406388,43,"{""alpha"": 0.38690339659205436, ""gamma"": 0.05360706732648642}",0.14063757249886158,,
1,1,1,KernelRidge,delta_lumo,0.1939345340392489,0.36154375259967975,-0.14879738117047858,0.0890710990271959,0.39064045308205336,0.6374174287928378,1.861916105406388,43,"{""alpha"": 0.38690339659205436, ""gamma"": 0.05360706732648642}",0.14063757249886158,,
1,1,1,RandomForest,LUMO,0.1608763921205786,0.3118023783430593,0.8238507366629504,0.0826439184458303,0.3380604415198197,0.4088276639781545,1.715437727482501,43,"{""n_estimators"": 251, ""max_depth"": 17, ""min_samples_split"": 6, ""min_samples_leaf"": 3, ""max_features"": ""sqrt""}",0.1315980150097148,,
1,1,1,RandomForest,delta_lumo,0.16087639212057864,0.3118023783430594,0.1455619875294505,0.08264391844583052,0.3380604415198196,0.40882766397815457,1.715437727482501,43,"{""n_estimators"": 251, ""max_depth"": 17, ""min_samples_split"": 6, ""min_samples_leaf"": 3, ""max_features"": ""sqrt""}",0.1315980150097148,,
1,1,1,XGBoost,LUMO,0.18765665455946817,0.36086674584719314,0.7640523203083842,0.09362030508422847,0.36595831936645545,0.4108176501434329,1.8346940419311522,43,"{""n_estimators"": 983, ""max_depth"": 8, ""learning_rate"": 0.005113286944911914, ""subsample"": 0.8989127354415437, ""colsample_bytree"": 0.7240915561798865, ""min_child_weight"": 1, ""reg_alpha"": 6.785593887998858e-06, ""reg_lambda"": 3.531612735978942, ""gamma"": 0.007225030185972833}",0.11969076526211794,,
1,1,1,XGBoost,delta_lumo,0.1876566545594682,0.36086674584719325,-0.1444990609866421,0.09362030508422858,0.3659583193664557,0.41081765014343297,1.8346940419311522,43,"{""n_estimators"": 983, ""max_depth"": 8, ""learning_rate"": 0.005113286944911914, ""subsample"": 0.8989127354415437, ""colsample_bytree"": 0.7240915561798865, ""min_child_weight"": 1, ""reg_alpha"": 6.785593887998858e-06, ""reg_lambda"": 3.531612735978942, ""gamma"": 0.007225030185972833}",0.11969076526211794,,
1,1,1,LinearRegression,Final Energy,1721.0032407772537,2284.632175775511,0.7740117852011228,1295.0212170995742,3158.556228138866,4342.544832488538,8318.276343702068,43,{},1908.383356319954,delta_energy,none
1,1,1,LinearRegression,delta_energy,1721.0032407772537,2284.632175775511,0.75822705108067,1295.0212170995742,3158.556228138866,4342.544832488539,8318.276343702066,43,{},1908.383356319954,delta_energy,none
1,1,1,Ridge,Final Energy,1715.106372946897,2324.6032722378386,0.7660349950218823,1392.4820405943246,2953.8118355009806,4755.242799278084,8672.139617990202,43,"{""alpha"": 16.941386020361502}",1811.778293239511,delta_energy,none
1,1,1,Ridge,delta_energy,1715.1063729468974,2324.6032722378386,0.7496931012627023,1392.4820405943246,2953.8118355009806,4755.242799278084,8672.1396179902,43,"{""alpha"": 16.941386020361502}",1811.778293239511,delta_energy,none
1,1,1,ElasticNet,Final Energy,1673.9093965950672,2318.7014522020227,0.7672214912499643,1236.64698894909,3064.734216131723,4418.503118015113,8403.170892516147,43,"{""alpha"": 0.03334500287000271, ""l1_ratio"": 0.933715847471073}",1731.4971469326679,delta_energy,none
1,1,1,ElasticNet,delta_energy,1673.9093965950672,2318.7014522020227,0.7509624714030894,1236.64698894909,3064.734216131723,4418.503118015113,8403.170892516146,43,"{""alpha"": 0.03334500287000271, ""l1_ratio"": 0.933715847471073}",1731.4971469326679,delta_energy,none
1,1,1,KernelRidge,Final Energy,826.0223361865258,1615.2706108437376,0.8870350287072428,413.9484758285507,1427.084557659421,2517.7805424831863,8659.672095618811,43,"{""alpha"": 0.025930904095275372, ""gamma"": 0.05168715016797273}",1246.7393371504156,delta_energy,none
1,1,1,KernelRidge,delta_energy,826.0223361865258,1615.2706108437374,0.8791446967341013,413.9484758285507,1427.0845576594209,2517.7805424831863,8659.67209561881,43,"{""alpha"": 0.025930904095275372, ""gamma"": 0.05168715016797273}",1246.7393371504156,delta_energy,none
1,1,1,RandomForest,Final Energy,893.7696069790425,1650.2511669660337,0.882089274744319,437.7000834112587,1850.314629752111,2721.795520778314,7975.251022961403,43,"{""n_estimators"": 343, ""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": null}",1095.4320512101294,delta_energy,none
1,1,1,RandomForest,delta_energy,893.7696069790427,1650.2511669660337,0.8738534937334946,437.7000834112587,1850.3146297521114,2721.795520778314,7975.251022961402,43,"{""n_estimators"": 343, ""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": null}",1095.4320512101294,delta_energy,none
1,1,1,XGBoost,Final Energy,849.3766934427703,1638.277797000805,0.8837940663053064,468.4212102484544,1225.5426967927503,4149.682724713637,6678.805764671047,43,"{""n_estimators"": 893, ""max_depth"": 5, ""learning_rate"": 0.007512535664245278, ""subsample"": 0.9732688490441144, ""colsample_bytree"": 0.7431596456853434, ""min_child_weight"": 1, ""reg_alpha"": 0.9947052313652308, ""reg_lambda"": 0.009167174611459293, ""gamma"": 0.09679734952973676}",1236.1178696477555,delta_energy,none
1,1,1,XGBoost,delta_energy,849.3766934427705,1638.277797000805,0.8756773608911673,468.4212102484544,1225.5426967927501,4149.682724713637,6678.805764671046,43,"{""n_estimators"": 893, ""max_depth"": 5, ""learning_rate"": 0.007512535664245278, ""subsample"": 0.9732688490441144, ""colsample_bytree"": 0.7431596456853434, ""min_child_weight"": 1, ""reg_alpha"": 0.9947052313652308, ""reg_lambda"": 0.009167174611459293, ""gamma"": 0.09679734952973676}",1236.1178696477555,delta_energy,none
2,1,2,LinearRegression,HOMO,0.13611161413451522,0.1992794623453972,0.4838857942981569,0.0904869328062139,0.2706219617582497,0.39019075491524907,0.7312854188195708,43,{},0.14050406217808942,,
2,1,2,LinearRegression,delta_homo,0.13611161413451517,0.1992794623453972,-0.4304579519743552,0.09048693280621434,0.2706219617582497,0.39019075491524907,0.7312854188195712,43,{},0.14050406217808942,,
2,1,2,Ridge,HOMO,0.13390248113067346,0.1994995749627438,0.4827450245757584,0.09972668972729526,0.26119281338930617,0.41381134169568773,0.7337623961568873,43,"{""alpha"": 74.10886983413839}",0.1363935355065791,,
2,1,2,Ridge,delta_homo,0.1339024811306735,0.19949957496274381,-0.4336197000966677,0.09972668972729526,0.26119281338930656,0.4138113416956881,0.7337623961568873,43,"{""alpha"": 74.10886983413839}",0.1363935355065791,,
2,1,2,ElasticNet,HOMO,0.13173581281509253,0.20096455074188535,0.47512046452939793,0.08731474778459258,0.27416814145515933,0.4163671185714424,0.7444485786785915,43,"{""alpha"": 0.13784673156010924, ""l1_ratio"": 0.27998045515357456}",0.1405756195742393,,
2,1,2,ElasticNet,delta_homo,0.1317358128150925,0.20096455074188532,-0.4547518689618715,0.08731474778459214,0.2741681414551592,0.41636711857144204,0.7444485786785915,43,"{""alpha"": 0.13784673156010924, ""l1_ratio"": 0.27998045515357456}",0.1405756195742393,,
2,1,2,KernelRidge,HOMO,0.1186300479204264,0.19341109040596344,0.5138352416102789,0.06845499077564376,0.2004613033126347,0.41708507510541093,0.7563974607696311,43,"{""alpha"": 0.2056841264562588, ""gamma"": 0.03661851837242761}",0.12135187223985466,,
